_id,controllerId,instrumentId,name,value,ts,mining,color,category,createdAt,updatedAt
660efb70d3f0dca700f53b64,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,4,1712257904,YUMPAG,#0bb97d,success,2024-04-04T19:11:44.001Z,2024-04-04T19:11:44.001Z
660efbadd3f0dca700f54324,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,4,1712257965,YUMPAG,#0bb97d,success,2024-04-04T19:12:45.955Z,2024-04-04T19:12:45.955Z
660efbebd3f0dca700f54b3a,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,3,1712258027,YUMPAG,#0bb97d,success,2024-04-04T19:13:47.887Z,2024-04-04T19:13:47.887Z
660efc29d3f0dca700f55379,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,3,1712258089,YUMPAG,#0bb97d,success,2024-04-04T19:14:49.838Z,2024-04-04T19:14:49.838Z
660efc67d3f0dca700f55b72,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,4,1712258151,YUMPAG,#0bb97d,success,2024-04-04T19:15:51.772Z,2024-04-04T19:15:51.772Z
660efca5d3f0dca700f5632f,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,4,1712258213,YUMPAG,#0bb97d,success,2024-04-04T19:16:53.706Z,2024-04-04T19:16:53.706Z
660efce3d3f0dca700f56b42,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,3,1712258275,YUMPAG,#0bb97d,success,2024-04-04T19:17:55.669Z,2024-04-04T19:17:55.669Z
660efd21d3f0dca700f5736c,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,4,1712258337,YUMPAG,#0bb97d,success,2024-04-04T19:18:57.619Z,2024-04-04T19:18:57.619Z
660efd5fd3f0dca700f57b66,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,3,1712258399,YUMPAG,#0bb97d,success,2024-04-04T19:19:59.554Z,2024-04-04T19:19:59.554Z
660efd9dd3f0dca700f5831f,6602d6d8b9f866224ef72699,6602d8271667db018ca164dc,CO,3,1712258461,YUMPAG,#0bb97d,success,2024-04-04T19:21:01.492Z,2024-04-04T19:21:01.492Z
